Requestor,Affiliation,Project,Date of approval,Request status,Public Research Use Statement,Technical Research Use Statement,accession,name
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs003124.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Exosome-Based    Non-Traditional Technologies Towards Multi-Parametric and Integrated    Approaches for SARS-CoV-2
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs003124.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Exosome-Based    Non-Traditional Technologies Towards Multi-Parametric and Integrated    Approaches for SARS-CoV-2
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002964.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Longitudinal at    Home Smell Testing to Detect Infection by SARS-CoV-2
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002964.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Longitudinal at    Home Smell Testing to Detect Infection by SARS-CoV-2
"Cho, Hyunghoon ",YALE UNIVERSITY,"Integrative analysis of genetic determinants of health across phenotypes, ancestry groups, and research sites","Jan18, 2024",approved,"This project addresses the following question: how do we better understand the genetic basis of health and disease, considering similarities between related diseases, different types of data, complex patterns of genetic variation, across a diverse range of individuals with different genetic and sociodemographic backgrounds? We develop statistical methods to identify disease-related patterns in genomic data that can help us understand shared biological mechanisms underlying related diseases. In addition, we develop methods that can combine insights from different data sources (e.g., biobanks or health systems) without any merging of data and while ensuring the privacy of the datasets to comply with relevant data sharing policies. These tools can help us derive insights from a larger pool of individuals, which is especially helpful for studies of rare diseases or underrepresented populations. We expect this project to result in an improved understanding of genetic factors underlying human health that can improve health-related decision making in diverse populations.","The growing collection of genomic datasets are empowering researchers to discover new links between genotypes and a diverse range of health conditions. Although biobanking efforts such as the UK Biobank, the All of Us Research Program, and the Million Veterans Program have resulted in large-scale repositories including a variety of biomedical and social information about the study participants, we currently lack the analysis methods and tools needed to effectively tease apart complex genetic associations in diverse human populations, including those with rare health conditions and those from underrepresented or admixed ancestry backgrounds. To this end, we aim to develop novel statistical methods and algorithmic tools to identify disease-related patterns or biomarkers in genomic datasets to improve our understanding of shared biological mechanisms underlying different diseases. The overarching goal of this research is to overcome the challenges introduced by limited sample sizes in genetic studies by making more effective use of the available information and combining information across different contexts. As part of this work, we will develop tools that can integrate insights from different diseases, ancestry groups, data modalities, and research sites or organizations (e.g., biobanks or health systems). We aim to combine signals across different entities without any merging of data through the use of modern privacy-enhancing technologies, which ensure the privacy of the datasets to comply with relevant data sharing policies. The insights resulting from this work will enable more accurate and efficient approaches to support clinical decisions regarding diagnosis, prognosis, and treatment choices in a manner that is tailored to individual patients factoring in their genetic and social backgrounds. To support this research endeavor, we have identified and included in this application a diverse set of genomic studies in dbGaP that span different diseases and race/ethnicities represented by the study participants. We will be analyzing these datasets specifically in the contexts of association tests, fine-mapping, disease risk prediction, patient stratification, and related analyses to derive novel biomedical insights into the diseases associated with the individual datasets. Another aspect of the project aims to better understand ethical use of data with respect to privacy and equity in order to encourage collaborative research and broader data sharing. Building upon these insights, we will investigate how shared patterns of biological data across different cohorts and studies can be leveraged to improve the discovery of valuable biomedical insights.   In compliance with the PUB consent code, we will publish and otherwise broadly share any findings, computational techniques, and software tools developed in this project with the scientific community.",phs002945.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Data Science    Approach to Identify and Manage Multisystem Inflammatory Syndrome in    Children (MIS-C) Associated with SARS-CoV-2 Infection and Kawasaki    Disease in Pediatric Patients
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002945.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Data Science    Approach to Identify and Manage Multisystem Inflammatory Syndrome in    Children (MIS-C) Associated with SARS-CoV-2 Infection and Kawasaki    Disease in Pediatric Patients
"Miguez, Maria-Jose ",FLORIDA INTERNATIONAL UNIVERSITY,System analysis for COVID humoral response,"Feb10, 2023",approved,"Multisystem inflammatory syndrome in children (MIS-C) is a rare condition that emerged a couple weeks after a child is exposed to SARS-CoV-2. MIS-C compromised several organs (e.g. heart, lungs, kidneys, brain, skin, eyes, or gastrointestinal tract), and it can be deadly. Therefore, it is critical to understand who is at risk (e.g. those with allergies). Our long term goal is to improve early diagnosis.   Based on our strong preliminary data, we want to validate our findings in a pediatric cohort. The RADx hub will provide a unique opportunity to do so with the large data available. This team is uniquely prepared given our medical and research experience.   ","Multisystem inflammatory syndrome in children (MIS-C) is a rare condition that emerged a couple weeks after a child is exposed to SARS-CoV-2. MIS-C compromised several organs (e.g. heart, lungs, kidneys, brain, skin, eyes, or gastrointestinal tract), and it can be deadly. Indeed, in a sizable proportion of cases (up to 40%), the patient requires to be admitted to the ICU service. Therefore, it is critical to understand who is at risk (e.g. those with allergic or non-allergic diseases) those with alterations in the IgE network (platelets, eosinophils, specific Th2 or Th17 cytokines). Our long term objective is to develop new strategies for early diagnosis and to identify biomarkers of risk that can be easily deployed globally.   Based on our strong preliminary data, we want to validate our findings in a pediatric cohort. The RADx hub will provide a unique opportunity to do so with the large data available. This team is uniquely qualified to do such analyses given the medical background of the PI, our ongoing work in COVID both in humans and with animal models, our unique expertise in IgE, and expertise using machine learning and model-based analyses.   ",phs002945.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Data Science    Approach to Identify and Manage Multisystem Inflammatory Syndrome in    Children (MIS-C) Associated with SARS-CoV-2 Infection and Kawasaki    Disease in Pediatric Patients
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002945.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Data Science    Approach to Identify and Manage Multisystem Inflammatory Syndrome in    Children (MIS-C) Associated with SARS-CoV-2 Infection and Kawasaki    Disease in Pediatric Patients
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002924.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Broad-Spectrum    Detection of VOC and Non-VOC Biomarkers from Patient Exhalant Using a    Biomimetic Multiplexed eNose Biosensor for COVID 19 Diagnosis
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002924.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Broad-Spectrum    Detection of VOC and Non-VOC Biomarkers from Patient Exhalant Using a    Biomimetic Multiplexed eNose Biosensor for COVID 19 Diagnosis
